개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,축산물가공업구분명,축산업무구분명,축산일련번호,최종수정시점
3000000,300000003420210002,2021-08-11,,폐업,2023-12-12,,,,0,,03115,펫토리얼,단미,I,000,2026-05-03 22:33:44,"서울특별시 종로구 종로 394, 태정빌딩 2층 203호 (숭인동)",폐업,0002,03,0269524099,201809.67645682     ,452460.718015096    ,서울특별시 종로구 숭인동 200-6 태정빌딩 ,단미,사료제조업,,2023-12-13 08:04:08
3000000,300000003420180001,2018-04-04,,폐업,2023-08-07,,,,0,,03085,홍쥬스컵,단미,I,000,2026-05-03 22:33:43,"서울특별시 종로구 낙산길 17, 지하1층 (동숭동)",폐업,0002,03,,200408.419197526    ,453144.519090577    ,서울특별시 종로구 동숭동 129-134 ,단미,사료제조업,,2023-08-07 11:24:34
3010000,301000003420230001,2023-01-09,,휴업,,2024-12-19,2027-12-31,,0,,04608,(주)월드바이오,배합,I,L00,2026-05-02 22:33:43,"서울특별시 중구 청구로 87, 2층 (신당동)",휴업,0001,02,,201052.072687355    ,450913.221971283    ,서울특별시 중구 신당동 386-7 ,배합,사료제조업,,2024-12-19 18:00:19
3010000,301000003420250001,2025-01-02,,영업/정상,,,,,0,,04575,쌀루,단미,I,000,2026-05-02 22:33:43,"서울특별시 중구 퇴계로 449-8, 2층 (황학동)",정상,0000,01,,201898.470565007    ,451485.205112622    ,서울특별시 중구 황학동 2477 ,단미,사료제조업,,2025-01-02 14:06:22
3010000,301000003420170001,2017-03-22,,폐업,2018-07-19,,,,0,,04599,펫스미스(Pet Smith),단미,I,L00,2026-05-02 22:33:43,"서울특별시 중구 동호로11길 40, 104호 (신당동, 상춘)",폐업,0002,03,0234448526,200725.211298487    ,450147.376945098    ,서울특별시 중구 신당동 363-1 ,단미,사료제조업,,2018-07-19 10:57:01
3010000,301000003420130001,2013-12-13,,취소/말소/만료/정지/중지,2018-07-18,,,,0,,04589,Wholesome Pet Food,배합,I,000,2026-05-02 22:33:43,"서울특별시 중구 다산로28길 33, 1층 (신당동)",말소,0004,04,0263266990,201292.85896577     ,450780.376193551    ,서울특별시 중구 신당동 317-7 1층 ,배합,사료제조업,,2018-07-19 09:29:12
3010000,301000003420210001,2021-06-14,,폐업,2024-12-02,,,,0,,04579,밀투펫,단미,I,000,2026-05-02 22:33:43,서울특별시 중구 다산로44길 99 (신당동),폐업,0002,03,,201921.015036258    ,451402.232145405    ,서울특별시 중구 신당동 160-17 ,단미,사료제조업,,2024-12-02 13:47:10
3010000,301000003420220001,2022-12-07,,폐업,2023-12-28,,,,0,,04546,버터뭉,단미,I,000,2026-05-02 22:33:43,"서울특별시 중구 동호로 385-2, 아이디어회관 301호 (방산동)",폐업,0002,03,,200083.856175492    ,451843.187476545    ,서울특별시 중구 방산동 4-51 ,단미,사료제조업,,2023-12-28 15:53:44
3010000,301000003420190001,2019-07-23,,폐업,2021-06-22,,,,0,,04505,리브랩스(주),배합,I,L00,2026-05-02 22:33:43,"서울특별시 중구 서소문로 38, 센트럴타워 1층 126호 (중림동)",폐업,0002,03,,196948.933328771    ,450906.177832843    ,서울특별시 중구 중림동 500 센트럴타워 ,배합,사료제조업,,2021-06-25 10:54:10
3020000,302000003420190001,2019-04-02,,영업/정상,,,,,0,,04316,위닝푸드,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 원효로89길 13-9, 지상1층 101호 (원효로1가)",정상,0000,01,07051757979,197106.518127586    ,448686.213601584    ,서울특별시 용산구 원효로1가 47-3 지상1층 101호 ,단미,사료제조업,,2019-04-02 09:37:20
3020000,302000003420240001,2024-01-29,,폐업,2025-08-18,,,,0,,04406,주식회사 벤스키친,단미,I,L00,2026-05-02 22:33:43,"서울특별시 용산구 우사단로 31-1, 1층 (이태원동)",폐업,0002,03,0269560132,199524.306080315    ,447866.652788337    ,서울특별시 용산구 이태원동 141-3 ,단미,사료제조업,,2025-08-18 10:50:12
3020000,302000003420210001,2021-05-07,,영업/정상,,,,,0,,04345,퍼올독스(FurAllDogs),단미,I,000,2026-05-02 22:33:43,서울특별시 용산구 녹사평대로 226-1 (이태원동),정상,0000,01,07041931000,198781.156108801    ,448403.550394735    ,서울특별시 용산구 이태원동 577 ,단미,사료제조업,,2021-05-07 13:46:00
3020000,302000003420210002,2021-11-01,,영업/정상,,,,,0,,04356,헤이듀드,단미,I,000,2026-05-02 22:33:43,서울특별시 용산구 새창로 90(용문동),정상,0000,01,,196316.533321369    ,448534.541758365    ,서울특별시 용산구 용문동 32-58 ,단미,사료제조업,,2021-11-01 15:43:39
3020000,302000003420210003,2021-12-09,,취소/말소/만료/정지/중지,,,,,0,,04374,바닐노쉬,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 이촌로 46, 2층 201호 (이촌동)",말소,0004,04,,195935.729701638    ,447257.154540243    ,서울특별시 용산구 이촌동 209-8 2층 201호 ,단미,사료제조업,,2024-12-09 16:13:47
3020000,302000003420240002,2024-12-06,,영업/정상,,,,,0,,04401,너즐리,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 대사관로31길 7, 지하1층 (한남동)",정상,0000,01,,200433.823950083    ,447936.029078731    ,서울특별시 용산구 한남동 657-103 ,단미,사료제조업,,2024-12-06 09:57:02
3020000,302000003420260001,2026-01-06,,영업/정상,,,,,0,,04387,장수멍멍,단미,U,000,2026-06-27 03:03:03,"서울특별시 용산구 서빙고로 17, 용산센트럴파크 A동 2071호 (한강로3가)",정상,0000,01,,197056.728931087    ,447077.126289262    ,서울특별시 용산구 한강로3가 98 ,단미,사료제조업,,2026-06-26 15:51:33
3020000,302000003420130001,2013-05-22,,폐업,2013-11-04,,,,0,,04304,생유푸드,배합,I,000,2026-05-02 22:33:43,"서울특별시 용산구 청파로 337 (서계동, (2층))",폐업,0002,03,0220380010,197244.100509941    ,449714.230334698    ,서울특별시 용산구 서계동 193-2 (2층) ,배합,사료제조업,,2013-11-04 17:22:27
3020000,302000003420160001,2016-07-20,,폐업,2018-05-21,,,,0,,04328,도그앤츄,단미,I,000,2026-05-02 22:33:43,서울특별시 용산구 두텁바위로 94-1 (후암동),폐업,0002,03,,198347.915141356    ,449460.680863943    ,서울특별시 용산구 후암동 404-13 ,단미,사료제조업,,2018-05-23 09:06:11
3020000,302000003420170001,2017-04-21,,폐업,2018-11-29,,,,0,,04338,피드미,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 신흥로5길 68, 지상1층 (용산동2가)",폐업,0002,03,,198549.011931181    ,449030.669459336    ,서울특별시 용산구 용산동2가 34-15 지상1층 ,단미,사료제조업,,2018-11-29 17:22:25
3020000,302000003420180001,2018-04-03,,폐업,2018-08-02,,,,0,,04316,위닝푸드,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 원효로89길 13-9, 지상1층 (원효로1가)",폐업,0002,03,,197106.518127586    ,448686.213601584    ,서울특별시 용산구 원효로1가 47-3 지상1층 ,단미,사료제조업,,2018-08-02 16:32:55
3020000,302000003420180002,2018-06-11,,폐업,2023-06-28,,,,0,,04359,페따미꼬,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 원효로 51, 상가동 152호 (산천동, 삼성테마트)",폐업,0002,03,027955834,195547.140326252    ,447976.775939762    ,서울특별시 용산구 산천동 202 삼성테마트 상가동 152호,단미,사료제조업,,2023-06-28 11:20:58
3020000,302000003420180003,2018-09-19,,폐업,2018-12-28,,,,0,,04410,(주)쥬시오애니밀 한남지점,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 독서당로 46, 205호 (한남동, 한남아이파크)",폐업,0002,03,027490828,200571.725921493    ,447793.924058853    ,서울특별시 용산구 한남동 828 한남아이파크 205호,단미,사료제조업,,2018-12-28 13:41:59
3020000,302000003420230001,2023-01-31,,폐업,2025-08-18,,,,0,,04406,주식회사 벤스키친,배합,I,L00,2026-05-02 22:33:43,"서울특별시 용산구 우사단로 31-1, 1층 (이태원동)",폐업,0002,03,0269560132,199524.306080315    ,447866.652788337    ,서울특별시 용산구 이태원동 141-3 ,배합,사료제조업,,2025-08-18 10:46:36
3020000,302000003420200001,2020-05-26,,영업/정상,,,,,0,,04414,클로베이,단미,I,000,2026-05-02 22:33:43,"서울특별시 용산구 보광로24길 9-4, 성심유치원 1층 (보광동)",정상,0000,01,023180110,199895.96571287     ,447381.033584975    ,서울특별시 용산구 보광동 253-43 1층 ,단미,사료제조업,,2020-06-10 09:34:40
3030000,303000003420090001,2009-11-23,,영업/정상,,,,,0,,,퓨어도그(Pure dog),배합,I,000,2026-05-09 23:13:11,서울특별시 성동구 서울숲4길 22-31 (성수동1가),정상,0000,01,,203742.851800001    ,449363.915452341    ,서울특별시 성동구 성수동1가 668-61 ,배합,사료제조업,,2025-06-27 16:13:40
3030000,303000003420170001,2017-03-09,,폐업,2019-12-05,,,,0,,04778,아지와나(aZiwana),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 왕십리로10길 8, 1층 (성수동1가)",폐업,0002,03,,203952.299414847    ,449396.006914845    ,,단미,사료제조업,,2019-12-05 16:25:02
3030000,303000003420200003,2020-09-28,,폐업,2026-06-05,,,,0,,04727,오띠모도떼,단미,U,000,2026-06-06 03:03:03,"서울특별시 성동구 금호로 148-1, 1층 (금호동1가)",폐업,0002,03,,201745.916348056    ,450231.886428537    ,서울특별시 성동구 금호동1가 514 ,단미,사료제조업,,2026-06-05 17:21:14
3030000,303000003420200004,2020-11-24,,영업/정상,,,,,0,,04776,투테일스,단미,I,000,2026-05-09 23:13:12,서울특별시 성동구 성수이로 32-10 (성수동2가),정상,0000,01,,204765.797779057    ,448414.57829248     ,서울특별시 성동구 성수동2가 335-21 ,단미,사료제조업,,2020-11-24 16:30:40
3030000,303000003420230001,2023-02-01,,영업/정상,,,,,0,,04799,주식회사 엔디어리스트,단미,I,L00,2026-05-09 23:13:12,"서울특별시 성동구 광나루로8길 31, 지1층 에프비107호 (성수동2가)",정상,0000,01,,205784.445648184    ,449451.98622544     ,서울특별시 성동구 성수동2가 281-20 에프비 107호,단미,사료제조업,,2023-02-01 13:38:13
3030000,303000003420230002,2023-06-08,,영업/정상,,,,,0,,04710,버블퍼피(펫푸드),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 무학봉길 63, 1층 (하왕십리동)",정상,0000,01,07082696667,202558.335435687    ,450951.715052434    ,서울특별시 성동구 하왕십리동 982-8 ,단미,사료제조업,,2025-06-27 15:30:43
3030000,303000003420240001,2024-10-02,,폐업,2026-05-15,,,,0,,04768,섬타르 서울숲,단미,U,000,2026-05-19 03:03:03,"서울특별시 성동구 서울숲2길 24-8, 지1층 (성수동1가)",폐업,0002,03,,203560.801006195    ,449392.509955886    ,서울특별시 성동구 성수동1가 685-484 지1층 ,단미,사료제조업,,2026-05-18 08:53:40
3030000,303000003420120001,2012-09-24,,폐업,2012-11-05,,,,,,,(주)알앤케이컴퍼니,단미,I,L00,2026-05-09 23:13:11,"서울특별시 성동구 성수이로24길 31 601호 (성수동2가, 성진코원빌딩)",폐업,0002,03,,205381.925213412    ,449143.983493357    ,서울특별시 성동구 성수동2가 277-30 ,단미,사료제조업,,2012-11-05 18:03:55
3030000,303000003420120002,2012-11-15,,폐업,2017-06-12,,,,,,,(주)알앤케이컴퍼니,배합,I,L00,2026-05-09 23:13:11,"서울특별시 성동구 성수이로24길 31 601호 (성수동2가, 성진코원빌딩)",폐업,0002,03,,205381.925213412    ,449143.983493357    ,서울특별시 성동구 성수동2가 277-30 ,배합,사료제조업,,2017-06-12 21:03:06
3030000,303000003420130001,2013-01-28,,폐업,2015-11-26,,,,0,,04801,쿠킹앤도그,단미,I,000,2026-05-09 23:13:11,"서울특별시 성동구 광나루로11길 34, 1층 (송정동)",폐업,0002,03,,205892.057363952    ,449820.58830938     ,서울특별시 성동구 송정동 73-644 1층 ,단미,사료제조업,,2015-11-26 17:55:41
3030000,303000003420160001,2016-07-20,,폐업,2016-12-21,,,,0,,04778,아지와나,단미,I,000,2026-05-09 23:13:11,"서울특별시 성동구 왕십리로10길 1-6, 지층 (성수동1가)",폐업,0002,03,,203919.151353321    ,449441.687409155    ,서울특별시 성동구 성수동1가 656-1045 ,단미,사료제조업,,2016-12-21 16:06:49
3030000,303000003420160002,2016-08-04,,폐업,2016-12-01,,,,0,,04789,멍이 수라간,배합,I,000,2026-05-09 23:13:12,"서울특별시 성동구 아차산로 3, 303호 (성수동1가, 성수동 아파트형 공장 두앤캔하우스)",폐업,0002,03,,203941.95153715     ,449567.05782932     ,서울특별시 성동구 성수동1가 656-1683 303호,배합,사료제조업,,2016-12-01 18:01:32
3030000,303000003420160003,2016-09-30,,폐업,2018-09-18,,,,0,,04709,와글팝,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 무학로6길 50, 101동 1층 134호 (도선동, 성동삼성쉐르빌)",폐업,0002,03,,203017.021457357    ,451346.281102634    ,서울특별시 성동구 도선동 69 성동삼성쉐르빌 101동 134호,단미,사료제조업,,2018-09-18 16:11:34
3030000,303000003420160004,2016-11-29,,폐업,2018-12-03,,,,0,,04738,희또마미 수제간식,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 독서당로 270, 208호 (금호동4가, 금호동 대우아파트)",폐업,0002,03,07041121717,201669.803556903    ,449301.451523245    ,서울특별시 성동구 금호동4가 800 대우월드타운상가 208호,단미,사료제조업,,2018-12-03 15:56:20
3030000,303000003420160005,2016-12-08,,폐업,2016-12-28,,,,0,,04789,멍이수라간,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 아차산로 3, 3층 (성수동1가, 성수동아파트형공장두앤캔하우스)",폐업,0002,03,,203941.95153715     ,449567.05782932     ,서울특별시 성동구 성수동1가 656-1683 301호내 303호 ,단미,사료제조업,,2016-12-29 09:00:55
3030000,303000003420160006,2016-12-19,,폐업,2017-03-09,,,,0,,04768,아지와나(aZiwana),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 서울숲6길 22, 1층 (성수동1가)",폐업,0002,03,024994273,203809.653071153    ,449445.056893508    ,서울특별시 성동구 성수동1가 668-127 우측 ,단미,사료제조업,,2017-03-09 15:47:41
3030000,303000003420170002,2017-09-12,,폐업,2018-12-05,,,,0,,04789,델리펫(DELIPET),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 아차산로 3, 701호 (성수동1가, 성수동아파트형공장두앤캔하우스)",폐업,0002,03,07087872116,203941.95153715     ,449567.05782932     ,,단미,사료제조업,,2018-12-05 17:10:42
3030000,303000003420170003,2017-09-25,,폐업,2017-12-04,,,,0,,04702,펫티셰(PETissier),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 무학로 33, 156동 106호 (하왕십리동, 텐즈힐)",폐업,0002,03,,202401.066045195    ,451809.190992068    ,,단미,사료제조업,,2017-12-04 21:16:59
3030000,303000003420170004,2017-12-11,,폐업,2019-09-02,,,,0,,04778,주식회사 알앤케이컴퍼니,배합,I,L00,2026-05-09 23:13:12,"서울특별시 성동구 왕십리로 58, FORHU 5층 511호 (성수동1가)",폐업,0002,03,,203924.802039313    ,448934.858771073    ,서울특별시 성동구 성수동1가 656-3 FORHU ,배합,사료제조업,,2019-09-02 17:17:57
3030000,303000003420170005,2017-12-14,,폐업,2020-04-23,,,,0,,04793,판타펫코리아,배합,I,000,2026-05-09 23:13:12,"서울특별시 성동구 성수일로 84, 남영아파트형공장 5층 502호 (성수동2가)",폐업,0002,03,0262418841,204461.776750011    ,449524.558350945    ,서울특별시 성동구 성수동2가 284-49 남영아파트형공장 ,배합,사료제조업,,2020-04-24 12:57:00
3030000,303000003420180001,2018-09-27,,폐업,2022-12-30,,,,0,,04741,와글팝,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 독서당로 398, 노선상가 2층 203호 (응봉동)",폐업,0002,03,,202869.775808581    ,449963.043497672    ,서울특별시 성동구 응봉동 100 노선상가 203호,단미,사료제조업,,2022-12-30 17:02:34
3030000,303000003420190001,2019-07-09,,폐업,2021-07-07,,,,0,,04776,코멜리(Comely),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 성수이로6길 11, 1층 (성수동2가)",폐업,0002,03,,204795.395339633    ,448275.503583388    ,서울특별시 성동구 성수동2가 559-4 ,단미,사료제조업,,2021-07-08 08:59:48
3030000,303000003420200001,2020-01-13,,폐업,2023-01-13,,,,0,,04718,시바봉봉,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 금호로 102, 벽산아파트 상가동 6층 602-2호 (금호동1가)",폐업,0002,03,,202326.470897024    ,449954.683065141    ,서울특별시 성동구 금호동1가 633 벽산아파트 상가동동 602-2호,단미,사료제조업,,2023-01-13 16:34:03
3030000,303000003420200002,2020-09-25,,폐업,2022-12-19,,,,0,,04778,핑거스튜디오,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 왕십리로 92, 3층 (성수동1가)",폐업,0002,03,0264049098,203907.251344139    ,449272.912713959    ,서울특별시 성동구 성수동1가 660-14 ,단미,사료제조업,,2022-12-20 11:35:48
3030000,303000003420200005,2020-11-24,,폐업,2021-12-31,,,,0,,04741,스윗도그,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 독서당로 398, 노선상가 104호 (응봉동)",폐업,0002,03,,202869.775808581    ,449963.043497672    ,서울특별시 성동구 응봉동 100 노선상가 104호,단미,사료제조업,,2023-04-04 16:44:58
3030000,303000003420210001,2021-02-05,,폐업,2022-12-19,,,,0,,04791,제이펫컴퍼니,단미,I,L00,2026-05-09 23:13:12,서울특별시 성동구 상원10길 11-8 (성수동1가),폐업,0002,03,,204278.615754517    ,449723.748625516    ,서울특별시 성동구 성수동1가 13-27 ,단미,사료제조업,,2022-12-20 11:34:50
3030000,303000003420210002,2021-04-28,,폐업,2025-06-27,,,,0,,04728,도론(DORON),단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 금호로 105, 래미안하이리버 상가동 지하 1층 B101호 (금호동2가)",폐업,0002,03,,202098.97937718     ,449891.972244601    ,서울특별시 성동구 금호동2가 1217 래미안하이리버 상가동 B101호,단미,사료제조업,,2025-06-27 16:20:50
3030000,303000003420210003,2021-08-09,,폐업,2024-03-19,,,,0,,04796,로이앤제이,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 아차산로11길 27, 윈스타워 지하2층 205호 (성수동2가)",폐업,0002,03,,205214.696074247    ,449326.791808157    ,서울특별시 성동구 성수동2가 278-51 윈스타워 B205호,단미,사료제조업,,2024-03-19 14:17:58
3030000,303000003420210004,2021-08-09,,폐업,2024-03-19,,,,0,,04796,로이앤제이,배합,I,000,2026-05-09 23:13:12,"서울특별시 성동구 아차산로11길 27, 윈스타워 지하2층 205호 (성수동2가)",폐업,0002,03,,205214.696074247    ,449326.791808157    ,서울특별시 성동구 성수동2가 278-51 윈스타워 B205호,배합,사료제조업,,2024-03-19 14:33:05
3030000,303000003420230003,2023-07-31,,폐업,2024-01-16,,,,0,,04788,주식회사 엠제이바이오젠,보조,I,000,2026-05-09 23:13:12,"서울특별시 성동구 광나루로 144, 더 스페이스 타워 401호 (성수동1가)",폐업,0002,03,,204034.146529831    ,449893.531645905    ,서울특별시 성동구 성수동1가 656-882 더 스페이스 타워 ,보조,사료제조업,,2024-01-16 17:33:55
3030000,303000003420180002,2018-12-10,,영업/정상,,,,,0,,04735,맘마누,단미,I,000,2026-05-09 23:13:12,"서울특별시 성동구 한림말길 31, 옥수삼성아파트 상가 지하1층 B8호 (옥수동)",정상,0000,01,,201222.07429303     ,448765.977811344    ,서울특별시 성동구 옥수동 250-7 옥수삼성아파트 상가 지하1층 B8호,단미,사료제조업,,2018-12-10 20:06:13
3040000,304000003420190005,2019-11-01,,폐업,2026-03-13,,,,0,,04920,(주) 트릿테이블,배합,I,L00,2026-05-04 22:03:44,"서울특별시 광진구 천호대로101길 6, 2층 (중곡동)",폐업,0002,03,,206544.195734809    ,450814.038703344    ,서울특별시 광진구 중곡동 635-2 ,배합,사료제조업,,2026-03-13 10:57:42
3040000,304000003420260001,2026-06-24,,영업/정상,,,,,0,,05074,코다쿡,단미,I,000,2026-06-25 22:03:30,"서울특별시 광진구 능동로 69, 201호 (자양동, 자양 호반써밋)",정상,0000,01,,206014.599715389    ,448359.990459515    ,서울특별시 광진구 자양동 861 자양 호반써밋 ,단미,사료제조업,,2026-06-24 10:31:15
3040000,304000003420220002,2022-06-20,,영업/정상,,,,,0,,05085,"헬로, 멜로",단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 능동로 25-1, 1층 (자양동)",정상,0000,01,,205898.838064079    ,447950.452030719    ,서울특별시 광진구 자양동 59-31 1층 ,단미,사료제조업,,2022-07-27 17:12:06
3040000,304000003420100001,2010-04-15,,폐업,2014-08-25,,,,,,,옥성코리아(주),단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 천호대로 623-1 (중곡동,4층)",폐업,0002,03,22019523,207624.556805359    ,450257.044484869    ,서울특별시 광진구 중곡동 119-7 4층 ,단미,사료제조업,,2014-08-25 10:26:39
3040000,304000003420110001,2011-08-22,,폐업,2017-10-13,,,,,,,뽀리,단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 긴고랑로19길 36, 101호 (중곡동)",폐업,0002,03,,207434.577406789    ,451186.118461099    ,서울특별시 광진구 중곡동 34-31 101호,단미,사료제조업,,2017-10-13 15:16:26
3040000,304000003420110002,2011-12-06,,폐업,2013-12-30,,,,,,,트리앤버드,배합,I,000,2026-05-04 22:03:44,서울특별시 광진구 구의로 35 (구의동),폐업,0002,03,,207851.95679157     ,448758.341759092    ,서울특별시 광진구 구의동 222-15 ,배합,사료제조업,,2013-12-30 10:44:26
3040000,304000003420140001,2014-03-27,,폐업,2016-03-29,,,,0,,04999,베지프,배합,I,000,2026-05-04 22:03:44,"서울특별시 광진구 동일로56길 38, 1층 좌측호 (군자동)",폐업,0002,03,,206477.194471375    ,450364.921685586    ,서울특별시 광진구 군자동 157-3 ,배합,사료제조업,,2016-03-29 14:37:10
3040000,304000003420150001,2015-07-20,,폐업,2016-11-04,,,,0,,05009,마리엔젤,단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 광나루로 382, 지1층 (화양동, 우성빌딩)",폐업,0002,03,07077557100,206298.328857313    ,449468.203393       ,서울특별시 광진구 화양동 111-102 ,단미,사료제조업,,2016-11-04 14:26:21
3040000,304000003420150002,2015-07-20,,폐업,2018-05-14,,,,0,,04927,봉쥬르 고양이,단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 능동로42길 5, 101호 (중곡동)",폐업,0002,03,07042147700,207118.570885744    ,450817.562959973    ,서울특별시 광진구 중곡동 47-13 101호,단미,사료제조업,,2018-05-14 11:04:04
3040000,304000003420170002,2017-10-20,,폐업,2022-02-28,,,,0,,05084,오지의 펫테이블,단미,I,000,2026-05-04 22:03:44,"서울특별시 광진구 뚝섬로24길 3, 2층 (자양동)",폐업,0002,03,,205570.982632948    ,448234.400412708    ,,단미,사료제조업,,2022-02-28 17:33:56
3040000,304000003420180001,2018-07-27,,폐업,2023-02-10,,,,0,,04935,주식회사 단주,단미,I,L00,2026-05-04 22:03:44,"서울특별시 광진구 용마산로 97, 선영타워 4층 (중곡동)",폐업,0002,03,024563335,207608.419448552    ,451114.730235915    ,서울특별시 광진구 중곡동 150-104 선영타워 401호,단미,사료제조업,,2023-02-10 17:25:05
3040000,304000003420190001,2019-01-21,,폐업,2020-09-01,,,,0,,05055,하쿠페쿠,배합,I,000,2026-05-04 22:03:44,서울특별시 광진구 아차산로46가길 15 (자양동),폐업,0002,03,,207166.289513299    ,448243.971533181    ,서울특별시 광진구 자양동 219-11 ,배합,사료제조업,,2020-09-01 17:45:57
