cntnts_sn,title,url
2447,노인 변비,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=2447
6695,노인 보행장애,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6695
6262,노인 부종,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6262
5314,노인 삼킴장애,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5314
5428,노인 약물복용,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5428
6766,노인 어지럼증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6766
5783,노인 요실금,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5783
6758,노인 운동,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6758
5253,노인 호흡곤란,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5253
5489,노인성난청,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5489
6761,노인의 영양,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6761
6690,녹내장,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6690
5495,뇌졸중,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5495
5221,당뇨망막병증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5221
5305,당뇨병,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5305
2347,당뇨병 합병증(급성 합병증),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=2347
2348,"당뇨병 합병증(급성 합병증_당뇨병케토산증, 고혈당고삼투질상태)",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=2348
2350,당뇨병 합병증(급성 합병증_저혈당),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=2350
2351,당뇨병 합병증(만성 합병증),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=2351
6692,당뇨병성 족부병증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6692
3388,당뇨환자의 식이요법,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=3388
6471,당뇨환자의 약물요법,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6471
3390,당뇨환자의 운동요법,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=3390
5969,"무릎관절염, 올바로 운동하기",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5969
6689,백내장,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6689
6487,손떨림(수전증),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6487
6679,수두와 대상포진,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6679
6445,슬관절 전치환술,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6445
3828,심부전,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=3828
6587,욕창,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6587
3193,전립선비대증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=3193
6774,죽상경화증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6774
4047,척추관 협착증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=4047
3348,추간판탈출증(디스크),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=3348
6261,치매환자의 가족을 위한 정보,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6261
5540,퇴행슬관절염,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5540
5809,파킨슨병,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5809
5249,폐렴(성인),https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5249
6566,협심증,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=6566
5269,황반변성,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoOldView.do?cntnts_sn=5269
